category,title,description,price,image
Snacks,spanish Omelette," A hearty omelette packed with potatoes, onions, and sometimes bell peppers, giving it a delightful blend of flavors and textures, perfect for a savory start to your day.",150,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Plain Omelette," A classic omelette, fluffy and light, made simply with eggs, seasoned to taste, ideal for those who enjoy a straightforward, delicious egg dish.",100,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Scrambled Eggs," Soft and creamy scrambled eggs, lightly seasoned and cooked to perfection, a versatile breakfast staple enjoyed by all.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,French Toast," Thick slices of bread soaked in a mixture of eggs and milk, fried to a golden brown and dusted with powdered sugar or cinnamon, a sweet breakfast delight.",100,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Pancake," Light, fluffy pancakes served hot, often enjoyed with syrup, butter, or fresh fruit, making for a delightful and filling breakfast.",100,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Pancake Egg Roll," A creative twist combining the lightness of a pancake rolled with an egg filling, offering a mix of flavors and textures in every bite.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Chicken Lollipop (Wings)," Juicy chicken wings marinated in spices, battered, and deep-fried until crispy, served with a tangy dipping sauce for an extra kick.",250,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Chips Masala," French fries tossed in a spicy, tangy tomato-based sauce, offering a flavorful and zesty twist on classic fries.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Chips Poussin," Crispy French fries served with a topping of poussin sauce, blending spices and savory flavors for a unique fry experience.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Chips Plain," Classic French fries, golden and crispy, lightly salted and perfect on their own or as a side to any meal.",150,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
